product_group,date,event_type,source,high_risk,notes
agriculturals,2008-01-01,HOLIDAY,LIBRARY,1,
agriculturals,2008-01-21,HOLIDAY,LIBRARY,1,
agriculturals,2008-02-18,HOLIDAY,LIBRARY,1,
agriculturals,2008-03-21,HOLIDAY,LIBRARY,1,
agriculturals,2008-05-26,HOLIDAY,LIBRARY,1,
agriculturals,2008-07-04,HOLIDAY,LIBRARY,1,
agriculturals,2008-09-01,HOLIDAY,LIBRARY,1,
agriculturals,2008-11-27,HOLIDAY,LIBRARY,1,
agriculturals,2008-11-28,EARLY_CLOSE,LIBRARY,1,
agriculturals,2008-12-24,EARLY_CLOSE,LIBRARY,1,
agriculturals,2008-12-25,HOLIDAY,LIBRARY,1,
agriculturals,2009-01-01,HOLIDAY,LIBRARY,1,
agriculturals,2009-01-19,HOLIDAY,LIBRARY,1,
agriculturals,2009-02-16,HOLIDAY,LIBRARY,1,
agriculturals,2009-04-10,HOLIDAY,LIBRARY,1,
agriculturals,2009-05-25,HOLIDAY,LIBRARY,1,
agriculturals,2009-07-03,HOLIDAY,LIBRARY,1,
agriculturals,2009-09-07,HOLIDAY,LIBRARY,1,
agriculturals,2009-11-26,HOLIDAY,LIBRARY,1,
agriculturals,2009-11-27,EARLY_CLOSE,LIBRARY,1,
agriculturals,2009-12-24,EARLY_CLOSE,LIBRARY,1,
agriculturals,2009-12-25,HOLIDAY,LIBRARY,1,
agriculturals,2010-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2010-01-18,HOLIDAY,LIBRARY,0,
agriculturals,2010-02-15,HOLIDAY,LIBRARY,0,
agriculturals,2010-04-02,HOLIDAY,LIBRARY,0,
agriculturals,2010-05-31,HOLIDAY,LIBRARY,0,
agriculturals,2010-07-05,HOLIDAY,LIBRARY,0,
agriculturals,2010-09-06,HOLIDAY,LIBRARY,0,
agriculturals,2010-11-25,HOLIDAY,LIBRARY,0,
agriculturals,2010-11-26,EARLY_CLOSE,LIBRARY,0,
agriculturals,2010-12-24,HOLIDAY,LIBRARY,0,
agriculturals,2011-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2011-01-17,HOLIDAY,LIBRARY,0,
agriculturals,2011-02-21,HOLIDAY,LIBRARY,0,
agriculturals,2011-04-22,HOLIDAY,LIBRARY,0,
agriculturals,2011-05-30,HOLIDAY,LIBRARY,0,
agriculturals,2011-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2011-09-05,HOLIDAY,LIBRARY,0,
agriculturals,2011-11-24,HOLIDAY,LIBRARY,0,
agriculturals,2011-11-25,EARLY_CLOSE,LIBRARY,0,
agriculturals,2011-12-26,HOLIDAY,LIBRARY,0,
agriculturals,2012-01-02,HOLIDAY,LIBRARY,0,
agriculturals,2012-01-16,HOLIDAY,LIBRARY,0,
agriculturals,2012-02-20,HOLIDAY,LIBRARY,0,
agriculturals,2012-04-06,HOLIDAY,LIBRARY,0,
agriculturals,2012-05-28,HOLIDAY,LIBRARY,0,
agriculturals,2012-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2012-09-03,HOLIDAY,LIBRARY,0,
agriculturals,2012-11-22,HOLIDAY,LIBRARY,0,
agriculturals,2012-11-23,EARLY_CLOSE,LIBRARY,0,
agriculturals,2012-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2012-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2013-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2013-01-21,HOLIDAY,LIBRARY,0,
agriculturals,2013-02-18,HOLIDAY,LIBRARY,0,
agriculturals,2013-03-29,HOLIDAY,LIBRARY,0,
agriculturals,2013-05-27,HOLIDAY,LIBRARY,0,
agriculturals,2013-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2013-09-02,HOLIDAY,LIBRARY,0,
agriculturals,2013-11-28,HOLIDAY,LIBRARY,0,
agriculturals,2013-11-29,EARLY_CLOSE,LIBRARY,0,
agriculturals,2013-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2013-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2014-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2014-01-20,HOLIDAY,LIBRARY,0,
agriculturals,2014-02-17,HOLIDAY,LIBRARY,0,
agriculturals,2014-04-18,HOLIDAY,LIBRARY,0,
agriculturals,2014-05-26,HOLIDAY,LIBRARY,0,
agriculturals,2014-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2014-09-01,HOLIDAY,LIBRARY,0,
agriculturals,2014-11-27,HOLIDAY,LIBRARY,0,
agriculturals,2014-11-28,EARLY_CLOSE,LIBRARY,0,
agriculturals,2014-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2014-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2015-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2015-01-19,HOLIDAY,LIBRARY,0,
agriculturals,2015-02-16,HOLIDAY,LIBRARY,0,
agriculturals,2015-04-03,HOLIDAY,LIBRARY,0,
agriculturals,2015-05-25,HOLIDAY,LIBRARY,0,
agriculturals,2015-07-03,HOLIDAY,LIBRARY,0,
agriculturals,2015-09-07,HOLIDAY,LIBRARY,0,
agriculturals,2015-11-26,HOLIDAY,LIBRARY,0,
agriculturals,2015-11-27,EARLY_CLOSE,LIBRARY,0,
agriculturals,2015-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2015-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2016-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2016-01-18,HOLIDAY,LIBRARY,0,
agriculturals,2016-02-15,HOLIDAY,LIBRARY,0,
agriculturals,2016-03-25,HOLIDAY,LIBRARY,0,
agriculturals,2016-05-30,HOLIDAY,LIBRARY,0,
agriculturals,2016-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2016-09-05,HOLIDAY,LIBRARY,0,
agriculturals,2016-11-24,HOLIDAY,LIBRARY,0,
agriculturals,2016-11-25,EARLY_CLOSE,LIBRARY,0,
agriculturals,2016-12-26,HOLIDAY,LIBRARY,0,
agriculturals,2017-01-02,HOLIDAY,LIBRARY,0,
agriculturals,2017-01-16,HOLIDAY,LIBRARY,0,
agriculturals,2017-02-20,HOLIDAY,LIBRARY,0,
agriculturals,2017-04-14,HOLIDAY,LIBRARY,0,
agriculturals,2017-05-29,HOLIDAY,LIBRARY,0,
agriculturals,2017-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2017-09-04,HOLIDAY,LIBRARY,0,
agriculturals,2017-11-23,HOLIDAY,LIBRARY,0,
agriculturals,2017-11-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2017-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2018-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2018-01-15,HOLIDAY,LIBRARY,0,
agriculturals,2018-02-19,HOLIDAY,LIBRARY,0,
agriculturals,2018-03-30,HOLIDAY,LIBRARY,0,
agriculturals,2018-05-28,HOLIDAY,LIBRARY,0,
agriculturals,2018-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2018-09-03,HOLIDAY,LIBRARY,0,
agriculturals,2018-11-22,HOLIDAY,LIBRARY,0,
agriculturals,2018-11-23,EARLY_CLOSE,LIBRARY,0,
agriculturals,2018-12-05,HOLIDAY,LIBRARY,0,
agriculturals,2018-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2018-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2019-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2019-01-21,HOLIDAY,LIBRARY,0,
agriculturals,2019-02-18,HOLIDAY,LIBRARY,0,
agriculturals,2019-04-19,HOLIDAY,LIBRARY,0,
agriculturals,2019-05-27,HOLIDAY,LIBRARY,0,
agriculturals,2019-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2019-09-02,HOLIDAY,LIBRARY,0,
agriculturals,2019-11-28,HOLIDAY,LIBRARY,0,
agriculturals,2019-11-29,EARLY_CLOSE,LIBRARY,0,
agriculturals,2019-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2019-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2020-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2020-01-20,HOLIDAY,LIBRARY,0,
agriculturals,2020-02-17,HOLIDAY,LIBRARY,0,
agriculturals,2020-04-10,HOLIDAY,LIBRARY,0,
agriculturals,2020-05-25,HOLIDAY,LIBRARY,0,
agriculturals,2020-07-03,HOLIDAY,LIBRARY,0,
agriculturals,2020-09-07,HOLIDAY,LIBRARY,0,
agriculturals,2020-11-26,HOLIDAY,LIBRARY,0,
agriculturals,2020-11-27,EARLY_CLOSE,LIBRARY,0,
agriculturals,2020-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2020-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2021-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2021-01-18,HOLIDAY,LIBRARY,0,
agriculturals,2021-02-15,HOLIDAY,LIBRARY,0,
agriculturals,2021-04-02,HOLIDAY,LIBRARY,0,
agriculturals,2021-05-31,HOLIDAY,LIBRARY,0,
agriculturals,2021-07-05,HOLIDAY,LIBRARY,0,
agriculturals,2021-09-06,HOLIDAY,LIBRARY,0,
agriculturals,2021-11-25,HOLIDAY,LIBRARY,0,
agriculturals,2021-11-26,EARLY_CLOSE,LIBRARY,0,
agriculturals,2021-12-24,HOLIDAY,LIBRARY,0,
agriculturals,2022-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2022-01-17,HOLIDAY,LIBRARY,0,
agriculturals,2022-02-21,HOLIDAY,LIBRARY,0,
agriculturals,2022-04-15,HOLIDAY,LIBRARY,0,
agriculturals,2022-05-30,HOLIDAY,LIBRARY,0,
agriculturals,2022-06-20,HOLIDAY,LIBRARY,0,
agriculturals,2022-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2022-09-05,HOLIDAY,LIBRARY,0,
agriculturals,2022-11-24,HOLIDAY,LIBRARY,0,
agriculturals,2022-11-25,EARLY_CLOSE,LIBRARY,0,
agriculturals,2022-12-26,HOLIDAY,LIBRARY,0,
agriculturals,2023-01-02,HOLIDAY,LIBRARY,0,
agriculturals,2023-01-16,HOLIDAY,LIBRARY,0,
agriculturals,2023-02-20,HOLIDAY,LIBRARY,0,
agriculturals,2023-04-07,HOLIDAY,LIBRARY,0,
agriculturals,2023-05-29,HOLIDAY,LIBRARY,0,
agriculturals,2023-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2023-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2023-09-04,HOLIDAY,LIBRARY,0,
agriculturals,2023-11-23,HOLIDAY,LIBRARY,0,
agriculturals,2023-11-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2023-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2024-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2024-01-15,HOLIDAY,LIBRARY,0,
agriculturals,2024-02-19,HOLIDAY,LIBRARY,0,
agriculturals,2024-03-29,HOLIDAY,LIBRARY,0,
agriculturals,2024-05-27,HOLIDAY,LIBRARY,0,
agriculturals,2024-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2024-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2024-09-02,HOLIDAY,LIBRARY,0,
agriculturals,2024-11-28,HOLIDAY,LIBRARY,0,
agriculturals,2024-11-29,EARLY_CLOSE,LIBRARY,0,
agriculturals,2024-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2024-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2025-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2025-01-09,HOLIDAY,LIBRARY,0,
agriculturals,2025-01-20,HOLIDAY,LIBRARY,0,
agriculturals,2025-02-17,HOLIDAY,LIBRARY,0,
agriculturals,2025-04-18,HOLIDAY,LIBRARY,0,
agriculturals,2025-05-26,HOLIDAY,LIBRARY,0,
agriculturals,2025-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2025-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2025-09-01,HOLIDAY,LIBRARY,0,
agriculturals,2025-11-27,HOLIDAY,LIBRARY,0,
agriculturals,2025-11-28,EARLY_CLOSE,LIBRARY,0,
agriculturals,2025-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2025-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2026-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2026-01-19,HOLIDAY,LIBRARY,0,
agriculturals,2026-02-16,HOLIDAY,LIBRARY,0,
agriculturals,2026-04-03,HOLIDAY,LIBRARY,0,
agriculturals,2026-05-25,HOLIDAY,LIBRARY,0,
agriculturals,2026-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2026-07-03,HOLIDAY,LIBRARY,0,
agriculturals,2026-09-07,HOLIDAY,LIBRARY,0,
agriculturals,2026-11-26,HOLIDAY,LIBRARY,0,
agriculturals,2026-11-27,EARLY_CLOSE,LIBRARY,0,
agriculturals,2026-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2026-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2027-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2027-01-18,HOLIDAY,LIBRARY,0,
agriculturals,2027-02-15,HOLIDAY,LIBRARY,0,
agriculturals,2027-03-26,HOLIDAY,LIBRARY,0,
agriculturals,2027-05-31,HOLIDAY,LIBRARY,0,
agriculturals,2027-06-18,HOLIDAY,LIBRARY,0,
agriculturals,2027-07-05,HOLIDAY,LIBRARY,0,
agriculturals,2027-09-06,HOLIDAY,LIBRARY,0,
agriculturals,2027-11-25,HOLIDAY,LIBRARY,0,
agriculturals,2027-11-26,EARLY_CLOSE,LIBRARY,0,
agriculturals,2027-12-24,HOLIDAY,LIBRARY,0,
agriculturals,2028-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2028-01-17,HOLIDAY,LIBRARY,0,
agriculturals,2028-02-21,HOLIDAY,LIBRARY,0,
agriculturals,2028-04-14,HOLIDAY,LIBRARY,0,
agriculturals,2028-05-29,HOLIDAY,LIBRARY,0,
agriculturals,2028-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2028-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2028-09-04,HOLIDAY,LIBRARY,0,
agriculturals,2028-11-23,HOLIDAY,LIBRARY,0,
agriculturals,2028-11-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2028-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2029-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2029-01-15,HOLIDAY,LIBRARY,0,
agriculturals,2029-02-19,HOLIDAY,LIBRARY,0,
agriculturals,2029-03-30,HOLIDAY,LIBRARY,0,
agriculturals,2029-05-28,HOLIDAY,LIBRARY,0,
agriculturals,2029-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2029-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2029-09-03,HOLIDAY,LIBRARY,0,
agriculturals,2029-11-22,HOLIDAY,LIBRARY,0,
agriculturals,2029-11-23,EARLY_CLOSE,LIBRARY,0,
agriculturals,2029-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2029-12-25,HOLIDAY,LIBRARY,0,
agriculturals,2030-01-01,HOLIDAY,LIBRARY,0,
agriculturals,2030-01-21,HOLIDAY,LIBRARY,0,
agriculturals,2030-02-18,HOLIDAY,LIBRARY,0,
agriculturals,2030-04-19,HOLIDAY,LIBRARY,0,
agriculturals,2030-05-27,HOLIDAY,LIBRARY,0,
agriculturals,2030-06-19,HOLIDAY,LIBRARY,0,
agriculturals,2030-07-04,HOLIDAY,LIBRARY,0,
agriculturals,2030-09-02,HOLIDAY,LIBRARY,0,
agriculturals,2030-11-28,HOLIDAY,LIBRARY,0,
agriculturals,2030-11-29,EARLY_CLOSE,LIBRARY,0,
agriculturals,2030-12-24,EARLY_CLOSE,LIBRARY,0,
agriculturals,2030-12-25,HOLIDAY,LIBRARY,0,
energy,2008-01-01,HOLIDAY,CME-VERIFIED,0,"NYMEX 2008 holiday schedule (cmegroup.com/media-room press release, 2007-11-20): closed New Year's Day, elec. trading reopens 2008-01-01 18:00 UTC"
energy,2008-01-21,EARLY_CLOSE,LIBRARY,1,
energy,2008-02-18,EARLY_CLOSE,LIBRARY,1,
energy,2008-03-21,HOLIDAY,CME-VERIFIED,0,"NYMEX 2008 holiday schedule (cmegroup.com/media-room press release, 2007-11-20): closed Good Friday, elec. trading reopens 2008-03-23 18:00 UTC"
energy,2008-05-26,EARLY_CLOSE,LIBRARY,1,
energy,2008-07-04,EARLY_CLOSE,LIBRARY,1,
energy,2008-09-01,EARLY_CLOSE,LIBRARY,1,
energy,2008-11-27,EARLY_CLOSE,LIBRARY,1,
energy,2008-11-28,EARLY_CLOSE,LIBRARY,1,
energy,2008-12-25,HOLIDAY,LIBRARY,1,
energy,2009-01-01,HOLIDAY,LIBRARY,1,
energy,2009-01-19,EARLY_CLOSE,LIBRARY,1,
energy,2009-02-16,EARLY_CLOSE,LIBRARY,1,
energy,2009-04-10,HOLIDAY,LIBRARY,1,
energy,2009-05-25,EARLY_CLOSE,LIBRARY,1,
energy,2009-07-03,EARLY_CLOSE,LIBRARY,1,
energy,2009-09-07,EARLY_CLOSE,LIBRARY,1,
energy,2009-11-26,EARLY_CLOSE,LIBRARY,1,
energy,2009-11-27,EARLY_CLOSE,LIBRARY,1,
energy,2009-12-25,HOLIDAY,LIBRARY,1,
energy,2010-01-01,HOLIDAY,LIBRARY,0,
energy,2010-01-18,EARLY_CLOSE,LIBRARY,0,
energy,2010-02-15,EARLY_CLOSE,LIBRARY,0,
energy,2010-04-02,HOLIDAY,LIBRARY,0,
energy,2010-05-31,EARLY_CLOSE,LIBRARY,0,
energy,2010-07-05,EARLY_CLOSE,LIBRARY,0,
energy,2010-09-06,EARLY_CLOSE,LIBRARY,0,
energy,2010-11-25,EARLY_CLOSE,LIBRARY,0,
energy,2010-11-26,EARLY_CLOSE,LIBRARY,0,
energy,2010-12-24,HOLIDAY,LIBRARY,0,
energy,2010-12-31,EARLY_CLOSE,LIBRARY,0,
energy,2011-01-17,EARLY_CLOSE,LIBRARY,0,
energy,2011-02-21,EARLY_CLOSE,LIBRARY,0,
energy,2011-04-22,HOLIDAY,LIBRARY,0,
energy,2011-05-30,EARLY_CLOSE,LIBRARY,0,
energy,2011-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2011-09-05,EARLY_CLOSE,LIBRARY,0,
energy,2011-11-24,EARLY_CLOSE,LIBRARY,0,
energy,2011-11-25,EARLY_CLOSE,LIBRARY,0,
energy,2011-12-26,HOLIDAY,LIBRARY,0,
energy,2012-01-02,HOLIDAY,LIBRARY,0,
energy,2012-01-16,EARLY_CLOSE,LIBRARY,0,
energy,2012-02-20,EARLY_CLOSE,LIBRARY,0,
energy,2012-04-06,HOLIDAY,LIBRARY,0,
energy,2012-05-28,EARLY_CLOSE,LIBRARY,0,
energy,2012-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2012-09-03,EARLY_CLOSE,LIBRARY,0,
energy,2012-11-22,EARLY_CLOSE,LIBRARY,0,
energy,2012-11-23,EARLY_CLOSE,LIBRARY,0,
energy,2012-12-25,HOLIDAY,LIBRARY,0,
energy,2013-01-01,HOLIDAY,LIBRARY,0,
energy,2013-01-21,EARLY_CLOSE,LIBRARY,0,
energy,2013-02-18,EARLY_CLOSE,LIBRARY,0,
energy,2013-03-29,HOLIDAY,LIBRARY,0,
energy,2013-05-27,EARLY_CLOSE,LIBRARY,0,
energy,2013-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2013-09-02,EARLY_CLOSE,LIBRARY,0,
energy,2013-11-28,EARLY_CLOSE,LIBRARY,0,
energy,2013-11-29,EARLY_CLOSE,LIBRARY,0,
energy,2013-12-25,HOLIDAY,LIBRARY,0,
energy,2014-01-01,HOLIDAY,LIBRARY,0,
energy,2014-01-20,EARLY_CLOSE,LIBRARY,0,
energy,2014-02-17,EARLY_CLOSE,LIBRARY,0,
energy,2014-04-18,HOLIDAY,LIBRARY,0,
energy,2014-05-26,EARLY_CLOSE,LIBRARY,0,
energy,2014-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2014-09-01,EARLY_CLOSE,LIBRARY,0,
energy,2014-11-27,EARLY_CLOSE,LIBRARY,0,
energy,2014-11-28,EARLY_CLOSE,LIBRARY,0,
energy,2014-12-25,HOLIDAY,LIBRARY,0,
energy,2015-01-01,HOLIDAY,LIBRARY,0,
energy,2015-01-19,EARLY_CLOSE,LIBRARY,0,
energy,2015-02-16,EARLY_CLOSE,LIBRARY,0,
energy,2015-04-03,HOLIDAY,LIBRARY,0,
energy,2015-05-25,EARLY_CLOSE,LIBRARY,0,
energy,2015-07-03,EARLY_CLOSE,LIBRARY,0,
energy,2015-09-07,EARLY_CLOSE,LIBRARY,0,
energy,2015-11-26,EARLY_CLOSE,LIBRARY,0,
energy,2015-11-27,EARLY_CLOSE,LIBRARY,0,
energy,2015-12-25,HOLIDAY,LIBRARY,0,
energy,2016-01-01,HOLIDAY,LIBRARY,0,
energy,2016-01-18,EARLY_CLOSE,LIBRARY,0,
energy,2016-02-15,EARLY_CLOSE,LIBRARY,0,
energy,2016-03-25,HOLIDAY,LIBRARY,0,
energy,2016-05-30,EARLY_CLOSE,LIBRARY,0,
energy,2016-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2016-09-05,EARLY_CLOSE,LIBRARY,0,
energy,2016-11-24,EARLY_CLOSE,LIBRARY,0,
energy,2016-11-25,EARLY_CLOSE,LIBRARY,0,
energy,2016-12-26,HOLIDAY,LIBRARY,0,
energy,2017-01-02,HOLIDAY,LIBRARY,0,
energy,2017-01-16,EARLY_CLOSE,LIBRARY,0,
energy,2017-02-20,EARLY_CLOSE,LIBRARY,0,
energy,2017-04-14,HOLIDAY,LIBRARY,0,
energy,2017-05-29,EARLY_CLOSE,LIBRARY,0,
energy,2017-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2017-09-04,EARLY_CLOSE,LIBRARY,0,
energy,2017-11-23,EARLY_CLOSE,LIBRARY,0,
energy,2017-11-24,EARLY_CLOSE,LIBRARY,0,
energy,2017-12-25,HOLIDAY,LIBRARY,0,
energy,2018-01-01,HOLIDAY,LIBRARY,0,
energy,2018-01-15,EARLY_CLOSE,LIBRARY,0,
energy,2018-02-19,EARLY_CLOSE,LIBRARY,0,
energy,2018-03-30,HOLIDAY,LIBRARY,0,
energy,2018-05-28,EARLY_CLOSE,LIBRARY,0,
energy,2018-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2018-09-03,EARLY_CLOSE,LIBRARY,0,
energy,2018-11-22,EARLY_CLOSE,LIBRARY,0,
energy,2018-11-23,EARLY_CLOSE,LIBRARY,0,
energy,2018-12-25,HOLIDAY,LIBRARY,0,
energy,2019-01-01,HOLIDAY,LIBRARY,0,
energy,2019-01-21,EARLY_CLOSE,LIBRARY,0,
energy,2019-02-18,EARLY_CLOSE,LIBRARY,0,
energy,2019-04-19,HOLIDAY,LIBRARY,0,
energy,2019-05-27,EARLY_CLOSE,LIBRARY,0,
energy,2019-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2019-09-02,EARLY_CLOSE,LIBRARY,0,
energy,2019-11-28,EARLY_CLOSE,LIBRARY,0,
energy,2019-11-29,EARLY_CLOSE,LIBRARY,0,
energy,2019-12-25,HOLIDAY,LIBRARY,0,
energy,2020-01-01,HOLIDAY,LIBRARY,0,
energy,2020-01-20,EARLY_CLOSE,LIBRARY,0,
energy,2020-02-17,EARLY_CLOSE,LIBRARY,0,
energy,2020-04-10,HOLIDAY,LIBRARY,0,
energy,2020-05-25,EARLY_CLOSE,LIBRARY,0,
energy,2020-07-03,EARLY_CLOSE,LIBRARY,0,
energy,2020-09-07,EARLY_CLOSE,LIBRARY,0,
energy,2020-11-26,EARLY_CLOSE,LIBRARY,0,
energy,2020-11-27,EARLY_CLOSE,LIBRARY,0,
energy,2020-12-25,HOLIDAY,LIBRARY,0,
energy,2021-01-01,HOLIDAY,LIBRARY,0,
energy,2021-01-18,EARLY_CLOSE,LIBRARY,0,
energy,2021-02-15,EARLY_CLOSE,LIBRARY,0,
energy,2021-04-02,HOLIDAY,LIBRARY,0,
energy,2021-05-31,EARLY_CLOSE,LIBRARY,0,
energy,2021-07-05,EARLY_CLOSE,LIBRARY,0,
energy,2021-09-06,EARLY_CLOSE,LIBRARY,0,
energy,2021-11-25,EARLY_CLOSE,LIBRARY,0,
energy,2021-11-26,EARLY_CLOSE,LIBRARY,0,
energy,2021-12-24,HOLIDAY,LIBRARY,0,
energy,2022-01-17,EARLY_CLOSE,LIBRARY,0,
energy,2022-02-21,EARLY_CLOSE,LIBRARY,0,
energy,2022-04-15,HOLIDAY,LIBRARY,0,
energy,2022-05-30,EARLY_CLOSE,LIBRARY,0,
energy,2022-06-20,EARLY_CLOSE,LIBRARY,0,
energy,2022-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2022-09-05,EARLY_CLOSE,LIBRARY,0,
energy,2022-11-24,EARLY_CLOSE,LIBRARY,0,
energy,2022-11-25,EARLY_CLOSE,LIBRARY,0,
energy,2022-12-26,HOLIDAY,LIBRARY,0,
energy,2023-01-02,HOLIDAY,LIBRARY,0,
energy,2023-01-16,EARLY_CLOSE,LIBRARY,0,
energy,2023-02-20,EARLY_CLOSE,LIBRARY,0,
energy,2023-04-07,HOLIDAY,LIBRARY,0,
energy,2023-05-29,EARLY_CLOSE,LIBRARY,0,
energy,2023-06-19,EARLY_CLOSE,LIBRARY,0,
energy,2023-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2023-09-04,EARLY_CLOSE,LIBRARY,0,
energy,2023-11-23,EARLY_CLOSE,LIBRARY,0,
energy,2023-11-24,EARLY_CLOSE,LIBRARY,0,
energy,2023-12-25,HOLIDAY,LIBRARY,0,
energy,2024-01-01,HOLIDAY,LIBRARY,0,
energy,2024-01-15,EARLY_CLOSE,LIBRARY,0,
energy,2024-02-19,EARLY_CLOSE,LIBRARY,0,
energy,2024-03-29,HOLIDAY,LIBRARY,0,
energy,2024-05-27,EARLY_CLOSE,LIBRARY,0,
energy,2024-06-19,EARLY_CLOSE,LIBRARY,0,
energy,2024-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2024-09-02,EARLY_CLOSE,LIBRARY,0,
energy,2024-11-28,EARLY_CLOSE,LIBRARY,0,
energy,2024-11-29,EARLY_CLOSE,LIBRARY,0,
energy,2024-12-25,HOLIDAY,LIBRARY,0,
energy,2025-01-01,HOLIDAY,LIBRARY,0,
energy,2025-01-20,EARLY_CLOSE,LIBRARY,0,
energy,2025-02-17,EARLY_CLOSE,LIBRARY,0,
energy,2025-04-18,HOLIDAY,LIBRARY,0,
energy,2025-05-26,EARLY_CLOSE,LIBRARY,0,
energy,2025-06-19,EARLY_CLOSE,LIBRARY,0,
energy,2025-07-04,EARLY_CLOSE,LIBRARY,0,
energy,2025-09-01,EARLY_CLOSE,LIBRARY,0,
energy,2025-11-27,EARLY_CLOSE,LIBRARY,0,
energy,2025-11-28,EARLY_CLOSE,LIBRARY,0,
energy,2025-12-25,HOLIDAY,LIBRARY,0,
energy,2026-01-01,HOLIDAY,LIBRARY,0,
energy,2026-01-19,EARLY_CLOSE,LIBRARY,0,
energy,2026-02-16,EARLY_CLOSE,LIBRARY,0,
energy,2026-04-03,HOLIDAY,LIBRARY,0,
energy,2026-05-25,EARLY_CLOSE,LIBRARY,0,
energy,2026-06-19,EARLY_CLOSE,LIBRARY,0,
energy,2026-07-03,EARLY_CLOSE,LIBRARY,0,
energy,2026-09-07,EARLY_CLOSE,LIBRARY,0,
energy,2026-11-26,EARLY_CLOSE,LIBRARY,0,
